Year,Doubles,Doubles_Finish,Doubles_Retired,Junior_Doubles,Junior_Doubles_Finish,Junior_Doubles_Retired,Singles,Singles_Finish,Singles_Retired,VetJunior,VetJunior_Finish,VetJunior_Retired,Endeavour,Endeavour_Finish,Endeavour_Retired
1970,114,51,63,100,67,33,,,,,,,,,
1971,120,61,59,85,65,20,,,,,,,,,
1972,96,68,28,68,66,2,,,,,,,,,
1973,85,51,34,72,59,13,,,,,,,,,
1974,61,34,27,73,59,14,,,,,,,,,
1975,87,61,26,75,66,9,,,,,,,,,
1976,83,48,35,70,64,6,,,,,,,,,
1977,83,56,27,69,59,10,,,,,,,,,
1978,79,60,19,55,54,1,,,,,,,,,
1979,90,70,20,60,58,2,,,,,,,,,
1980,97,71,26,64,60,4,,,,,,,,,
1981,122,96,26,58,51,7,,,,,,,,,
1982,160,112,48,46,39,7,,,,,,,,,
1983,174,86,88,68,56,12,,,,,,,,,
1984,200,149,51,55,52,3,,,,,,,,,
1985,184,127,57,45,38,7,45,38,7,,,,,,
1986,202,148,54,63,55,8,58,56,2,,,,,,
1987,228,174,54,66,57,9,68,53,15,,,,,,
1988,203,152,51,63,59,4,62,45,17,3,3,0,,,
1989,210,154,56,50,48,2,,47,,,6,,,,
1990,232,160,72,52,49,3,52,44,8,7,7,0,,,
1991,190,126,64,54,52,2,43,39,4,8,7,1,,,
1992,164,131,33,48,48,0,45,42,3,6,5,1,,,
1993,177,126,51,49,48,1,51,46,5,5,5,0,,,
1994,151,115,36,49,43,6,54,43,11,5,3,2,,,
1995,140,112,28,46,44,2,40,38,2,3,3,0,,,
1996,125,81,44,53,50,3,44,39,5,11,10,1,,,
1997,160,117,43,,,,,,,,12,,,,
1998,,67,,,64,,,49,,,10,,,,
1999,,101,,,64,,,49,,,10,,,,
2002,118,88,30,,48,,,38,,,5,,,15,
2003,96,52,44,,55,,,34,,,5,,,10,
2004,95,71,24,,55,,,36,,,7,,,24,
2005,92,71,21,,54,,,30,,,7,,,9,
2006,117,86,31,,41,,,27,,,8,,,12,
2007,115,85,30,65,64,1,24,23,1,2,2,0,16,14,2
2008,127,60,67,84,77,7,32,27,5,11,9,2,41,27,14
2009,182,134,48,78,73,5,48,41,7,14,14,0,28,24,4
2010,154,101,53,77,72,5,48,40,8,4,3,1,33,29,4
2011,151,111,40,75,73,2,53,47,6,8,8,0,29,24,5
2012,156,112,44,84,84,0,53,45,8,6,6,0,23,20,3
2013,160,100,60,79,74,5,43,39,4,8,6,2,28,23,5
2014,190,138,52,60,59,1,57,47,10,12,12,0,15,11,4
2015,183,118,65,80,79,1,67,55,12,9,9,0,16,16,0
2016,136,101,35,82,82,0,51,45,6,7,7,0,19,18,1
2017,159,119,40,91,90,1,81,75,6,11,11,0,19,19,0
2018,,, ,,,,,,,,,0,,,
2019,147,114,33,75,75,0,49,42,7,9,7,2,15,15,0
2020,,, ,,,,,,,,,,,,
